Drug[UMLS_CUI];DrugTargets[EntrezGene];Disease[UMLS_CUI];DiseaseProteins[EntrezGene]
"""C0049065""";[1786,1788];"""C0002871""";[142,183,538,1437,1440,2056,2936,3240,3440,3481,3558,3562,4524,5617,5741,5972,6648,7124,7298,8797,9474,10533,30061,51312,57817,113235,374569]
"[""C0025242"",""C0060135"",""C0002403"",""C0022614""]";[2902,2903,2904,2905,2906,116443,116444];"""C0002874""";[1437,1440,3458,4683,5551,7015,26277]
"""C0020402""";6241;"""C0002895""";[790,1723,3043,3240,4879,7124,7372,7412,8131,53335]
"""C0030899""";[135,136,5136,5137,5138,5139,5140,5141,5142,5143,5144,5145,5146,5147,5148,5149,5150,5151,5152,5153,5158,8622,8654,10846,27115];"""C0002895""";[790,1723,3043,3240,4879,7124,7372,7412,8131,53335]
"[""C0027302"",""C0030812"",""C0040233"",""C0031937"",""C0116569"",""C0041030"",""C0012963"",""C0068475""]";[153,154];"""C0002962""";[551,5328]
"[""C0017887"",""C0022252"",""C0064079"",""C0028128""]";2983;"""C0002962""";[551,5328]
"[""C0004057"",""C0020740"",""C0027396"",""C0038792"",""C0021246"",""C0022635"",""C0031990"",""C0040377"",""C0016377"",""C0012091"",""C0069739"",""C0015837"",""C0012228"",""C0025152"",""C0038878"",""C0073631"",""C0961209"",""C0054094"",""C0030125""]";[5742,5743];"""C0002962""";[551,5328]
"[""C0033497"",""C0022245"",""C0006388"",""C0007299""]";[153,154,155];"""C0002962""";[551,5328]
"[""C0051696"",""C0028066"",""C0028005"",""C0012373"",""C0028116"",""C0071304""]";[775,776,778,779];"""C0002962""";[551,5328]
"[""C0053799"",""C0000946"",""C0025859"",""C0004147"",""C0005320""]";153;"""C0002962""";[551,5328]
"[""C0286651"",""C0965129"",""C0085542"",""C0074554"",""C0082608"",""C0024027""]";3156;"""C0002962""";[551,5328]
"""C0042523""";[775,776,778,779,8911,8912,8913];"""C0002962""";[551,5328]
"[""C0206460"",""C0019134"",""C0206461"",""C1098510"",""C0259507"",""C0216278""]";462;"""C0002962""";[551,5328]
"""C0020223""";6262;"""C0002962""";[551,5328]
"""C0054836""";[146,147,148,153,154,155,3350,3357];"""C0002962""";[551,5328]
"""C0005116""";[773,774,775,776,777,778,779,781,782,783,784,785,786,8911,8912,8913,9254,10368,10369,27091,27092,55799,59283,59284,59285,93589];"""C0002962""";[551,5328]
"[""C0022860"",""C0014563"",""C0058415"",""C0028351""]";[146,147,148,150,151,152,153,154,155];"""C0002962""";[551,5328]
"""C0038742""";116085;"""C0002962""";[551,5328]
"""C0073633""";[6329,6331];"""C0002962""";[551,5328]
"""C0286185""";[8911,8912,8913];"""C0002962""";[551,5328]
"[""C0206460"",""C0019134"",""C0206461"",""C1098510"",""C0259507"",""C0216278""]";462;"""C0002965""";[3576,5069,5328]
