Drug[UMLS_CUI];DrugTargets[EntrezGene];Disease[UMLS_CUI];DiseaseProteins[EntrezGene]
"[""C0393022"",""C1832027""]";931;"""C0023434""";[59,355,472,578,595,596,817,841,921,3117,3394,3431,3500,3569,3662,3676,4524,4988,5027,5366,5423,5527,5743,5934,7037,7157,7421,8302,8600,8792,9855,10665,11073,11262,23451,23547,25797,25865,25913,26034,29125,29949,51176,55289,55892,57476,64506,64864,81037,90427,115761]
"[""C0021735"",""C0796545"",""C0021734"",""C0391001"",""C0164613"",""C0254119"",""C0244713""]";[3454,3455];"""C0023443""";[673,5604]
"""C0030896""";100;"""C0023443""";[673,5604]
"""C0383429""";1043;"""C0023448""";[2122,4066,4297,7015,25913,26034,57379,81037]
"[""C0015133"",""C0039512""]";[7153,7155];"""C0023448""";[2122,4066,4297,7015,25913,26034,57379,81037]
"[""C0013089"",""C0068314"",""C0020789"",""C0011015"",""C0014582""]";7153;"""C0023449""";2322
"""C0935989""";[25,3815,5159];"""C0023449""";2322
"""C0000618""";5471;"""C0023449""";2322
"""C1455147""";[25,640,1969,2268,2444,2534,3055,3815,3932,4067,5159,6714,6725,7525];"""C0023449""";2322
"[""C0015133"",""C0039512""]";[7153,7155];"""C0023449""";2322
"""C0010711""";[5422,5424,5426];"""C0023449""";2322
"""C0092777""";[1633,5422,5424,5426,6240];"""C0023449""";2322
"[""C0013089"",""C0068314"",""C0020789"",""C0011015"",""C0014582""]";7153;"""C0023467""";[113,302,307,308,309,355,366,481,596,822,824,840,861,862,864,865,928,945,960,1021,1050,1052,1269,1436,1437,1440,1471,1495,1512,1522,1612,1902,1978,2026,2078,2120,2274,2308,2322,2624,2672,2969,3005,3006,3082,3205,3315,3398,3717,3815,3845,4026,4066,4233,4291,4297,4330,4599,4609,4629,4763,4869,4928,5142,5457,5997,6279,6281,6446,6455,6678,6688,6774,6840,6919,7015,7200,7204,7249,7280,7490,7837,8021,8028,8301,8623,8743,8833,9145,10125,10437,10634,10801,11040,11168,11326,23365,26040,26511,30845,51428,51510,53826,54904,55740,58508,60468,64324,79870,81552,81848,343641,375790]
"""C0026259""";[2534,7153];"""C0023467""";[113,302,307,308,309,355,366,481,596,822,824,840,861,862,864,865,928,945,960,1021,1050,1052,1269,1436,1437,1440,1471,1495,1512,1522,1612,1902,1978,2026,2078,2120,2274,2308,2322,2624,2672,2969,3005,3006,3082,3205,3315,3398,3717,3815,3845,4026,4066,4233,4291,4297,4330,4599,4609,4629,4763,4869,4928,5142,5457,5997,6279,6281,6446,6455,6678,6688,6774,6840,6919,7015,7200,7204,7249,7280,7490,7837,8021,8028,8301,8623,8743,8833,9145,10125,10437,10634,10801,11040,11168,11326,23365,26040,26511,30845,51428,51510,53826,54904,55740,58508,60468,64324,79870,81552,81848,343641,375790]
"[""C0015133"",""C0039512""]";[7153,7155];"""C0023467""";[113,302,307,308,309,355,366,481,596,822,824,840,861,862,864,865,928,945,960,1021,1050,1052,1269,1436,1437,1440,1471,1495,1512,1522,1612,1902,1978,2026,2078,2120,2274,2308,2322,2624,2672,2969,3005,3006,3082,3205,3315,3398,3717,3815,3845,4026,4066,4233,4291,4297,4330,4599,4609,4629,4763,4869,4928,5142,5457,5997,6279,6281,6446,6455,6678,6688,6774,6840,6919,7015,7200,7204,7249,7280,7490,7837,8021,8028,8301,8623,8743,8833,9145,10125,10437,10634,10801,11040,11168,11326,23365,26040,26511,30845,51428,51510,53826,54904,55740,58508,60468,64324,79870,81552,81848,343641,375790]
"""C0216231""";1438;"""C0023467""";[113,302,307,308,309,355,366,481,596,822,824,840,861,862,864,865,928,945,960,1021,1050,1052,1269,1436,1437,1440,1471,1495,1512,1522,1612,1902,1978,2026,2078,2120,2274,2308,2322,2624,2672,2969,3005,3006,3082,3205,3315,3398,3717,3815,3845,4026,4066,4233,4291,4297,4330,4599,4609,4629,4763,4869,4928,5142,5457,5997,6279,6281,6446,6455,6678,6688,6774,6840,6919,7015,7200,7204,7249,7280,7490,7837,8021,8028,8301,8623,8743,8833,9145,10125,10437,10634,10801,11040,11168,11326,23365,26040,26511,30845,51428,51510,53826,54904,55740,58508,60468,64324,79870,81552,81848,343641,375790]
"[""C0026933"",""C0039902""]";[3614,3615];"""C0023467""";[113,302,307,308,309,355,366,481,596,822,824,840,861,862,864,865,928,945,960,1021,1050,1052,1269,1436,1437,1440,1471,1495,1512,1522,1612,1902,1978,2026,2078,2120,2274,2308,2322,2624,2672,2969,3005,3006,3082,3205,3315,3398,3717,3815,3845,4026,4066,4233,4291,4297,4330,4599,4609,4629,4763,4869,4928,5142,5457,5997,6279,6281,6446,6455,6678,6688,6774,6840,6919,7015,7200,7204,7249,7280,7490,7837,8021,8028,8301,8623,8743,8833,9145,10125,10437,10634,10801,11040,11168,11326,23365,26040,26511,30845,51428,51510,53826,54904,55740,58508,60468,64324,79870,81552,81848,343641,375790]
"""C0052416""";7296;"""C0023467""";[113,302,307,308,309,355,366,481,596,822,824,840,861,862,864,865,928,945,960,1021,1050,1052,1269,1436,1437,1440,1471,1495,1512,1522,1612,1902,1978,2026,2078,2120,2274,2308,2322,2624,2672,2969,3005,3006,3082,3205,3315,3398,3717,3815,3845,4026,4066,4233,4291,4297,4330,4599,4609,4629,4763,4869,4928,5142,5457,5997,6279,6281,6446,6455,6678,6688,6774,6840,6919,7015,7200,7204,7249,7280,7490,7837,8021,8028,8301,8623,8743,8833,9145,10125,10437,10634,10801,11040,11168,11326,23365,26040,26511,30845,51428,51510,53826,54904,55740,58508,60468,64324,79870,81552,81848,343641,375790]
"""C0010711""";[5422,5424,5426];"""C0023467""";[113,302,307,308,309,355,366,481,596,822,824,840,861,862,864,865,928,945,960,1021,1050,1052,1269,1436,1437,1440,1471,1495,1512,1522,1612,1902,1978,2026,2078,2120,2274,2308,2322,2624,2672,2969,3005,3006,3082,3205,3315,3398,3717,3815,3845,4026,4066,4233,4291,4297,4330,4599,4609,4629,4763,4869,4928,5142,5457,5997,6279,6281,6446,6455,6678,6688,6774,6840,6919,7015,7200,7204,7249,7280,7490,7837,8021,8028,8301,8623,8743,8833,9145,10125,10437,10634,10801,11040,11168,11326,23365,26040,26511,30845,51428,51510,53826,54904,55740,58508,60468,64324,79870,81552,81848,343641,375790]
"""C0010711""";[5422,5424,5426];"""C0023473""";[25,240,332,406,613,768,861,1407,1408,1432,2950,3161,3309,3440,5187,5657,7015,7490,8863,8864,23532,26040]
"""C0020402""";6241;"""C0023473""";[25,240,332,406,613,768,861,1407,1408,1432,2950,3161,3309,3440,5187,5657,7015,7490,8863,8864,23532,26040]
"[""C0026933"",""C0039902""]";[3614,3615];"""C0023473""";[25,240,332,406,613,768,861,1407,1408,1432,2950,3161,3309,3440,5187,5657,7015,7490,8863,8864,23532,26040]
"""C0935989""";[25,3815,5159];"""C0023473""";[25,240,332,406,613,768,861,1407,1408,1432,2950,3161,3309,3440,5187,5657,7015,7490,8863,8864,23532,26040]
"[""C0021735"",""C0796545"",""C0021734"",""C0391001"",""C0164613"",""C0254119"",""C0244713""]";[3454,3455];"""C0023473""";[25,240,332,406,613,768,861,1407,1408,1432,2950,3161,3309,3440,5187,5657,7015,7490,8863,8864,23532,26040]
"""C1455147""";[25,640,1969,2268,2444,2534,3055,3815,3932,4067,5159,6714,6725,7525];"""C0023473""";[25,240,332,406,613,768,861,1407,1408,1432,2950,3161,3309,3440,5187,5657,7015,7490,8863,8864,23532,26040]
"[""C0013089"",""C0068314"",""C0020789"",""C0011015"",""C0014582""]";7153;"""C0023473""";[25,240,332,406,613,768,861,1407,1408,1432,2950,3161,3309,3440,5187,5657,7015,7490,8863,8864,23532,26040]
"""C0020402""";6241;"""C0023518""";[1441,3553]
"[""C0142046"",""C1876200""]";2692;"""C0023787""";[5424,10038,10269,26580]
"""C1321596""";7357;"""C0023794""";[12,427,440,1174,2168,3249,4047,5468,6319,6515,6876,8431,9415,11067,26471,55062,64838,79153,83729]
"[""C0009262"",""C0246415"",""C0042679"",""C0042670"",""C0078257"",""C0144576"",""C2830183""]";[7280,10381,10382,10383,81027,84617,203068,347688,347733];"""C0023892""";[643,915,941,954,1003,1244,3091,3385,3484,3575,3592,3593,3627,3855,4015,4017,4283,4790,5244,6352,6522,6689,6775,7132,7297,9429,10412,10537,23274,79258,123264,163486,200931]
"""C0042105""";9971;"""C0023892""";[643,915,941,954,1003,1244,3091,3385,3484,3575,3592,3593,3627,3855,4015,4017,4283,4790,5244,6352,6522,6689,6775,7132,7297,9429,10412,10537,23274,79258,123264,163486,200931]
"[""C0076840"",""C0016860"",""C0014963""]";6557;"""C0023895""";[59,174,196,210,241,249,540,598,885,915,942,974,1230,1241,1281,1440,1544,1728,2027,2570,2678,2869,2875,3101,3162,3303,3556,3581,3589,3694,3728,4318,4524,4790,4843,4864,5265,5879,6039,6309,6341,6347,6430,6489,6647,6783,7051,7078,7104,7124,7295,7305,7850,8651,8829,9021,9420,9971,23576,23600,27040,27306,54210,56624,83716,94235,729230]
"[""C0037982"",""C0016280"",""C0961485""]";4306;"""C0023895""";[59,174,196,210,241,249,540,598,885,915,942,974,1230,1241,1281,1440,1544,1728,2027,2570,2678,2869,2875,3101,3162,3303,3556,3581,3589,3694,3728,4318,4524,4790,4843,4864,5265,5879,6039,6309,6341,6347,6430,6489,6647,6783,7051,7078,7104,7124,7295,7305,7850,8651,8829,9021,9420,9971,23576,23600,27040,27306,54210,56624,83716,94235,729230]
"""C0035525""";3614;"""C0023895""";[59,174,196,210,241,249,540,598,885,915,942,974,1230,1241,1281,1440,1544,1728,2027,2570,2678,2869,2875,3101,3162,3303,3556,3581,3589,3694,3728,4318,4524,4790,4843,4864,5265,5879,6039,6309,6341,6347,6430,6489,6647,6783,7051,7078,7104,7124,7295,7305,7850,8651,8829,9021,9420,9971,23576,23600,27040,27306,54210,56624,83716,94235,729230]
"[""C0078569"",""C0245561"",""C0028420"",""C0020934"",""C1533126""]";[6530,6532];"""C0024031""";[5327,6678]
"[""C0009014"",""C0525227"",""C0048038"",""C0079466"",""C0025741"",""C0146011"",""C0113293""]";[150,151,152];"""C0024031""";[5327,6678]
"[""C0032950"",""C0020268"",""C0011777"",""C0040864"",""C0054201"",""C0025815"",""C0060501"",""C0010137"",""C0032952"",""C0004905"",""C0360564"",""C0907850"",""C1948374"",""C0058004"",""C0005308"",""C0016299"",""C0016298"",""C0071836"",""C0304612"",""C0011707"",""C0082787""]";2908;"""C0024141""";[306,356,629,639,640,712,717,720,941,1027,1191,1380,1389,1401,1445,1773,1776,1997,2113,2212,2213,2214,2842,3092,3117,3120,3123,3565,3569,3586,3593,3663,3684,3687,3918,4299,4439,5133,5617,5743,6775,7100,7128,7148,7292,7332,9474,10019,10318,10320,11277,23274,23294,23534,25780,26191,50615,54887,54899,55024,57661,57705,59067,64135,64805,79016,79932,84159,121260,219285,221527,221895,283742,474354]
"""C0010592""";[1723,2280,5478];"""C0024141""";[306,356,629,639,640,712,717,720,941,1027,1191,1380,1389,1401,1445,1773,1776,1997,2113,2212,2213,2214,2842,3092,3117,3120,3123,3565,3569,3586,3593,3663,3684,3687,3918,4299,4439,5133,5617,5743,6775,7100,7128,7148,7292,7332,9474,10019,10318,10320,11277,23274,23294,23534,25780,26191,50615,54887,54899,55024,57661,57705,59067,64135,64805,79016,79932,84159,121260,219285,221527,221895,283742,474354]
"""C0020336""";[51284,54106];"""C0024141""";[306,356,629,639,640,712,717,720,941,1027,1191,1380,1389,1401,1445,1773,1776,1997,2113,2212,2213,2214,2842,3092,3117,3120,3123,3565,3569,3586,3593,3663,3684,3687,3918,4299,4439,5133,5617,5743,6775,7100,7128,7148,7292,7332,9474,10019,10318,10320,11277,23274,23294,23534,25780,26191,50615,54887,54899,55024,57661,57705,59067,64135,64805,79016,79932,84159,121260,219285,221527,221895,283742,474354]
"""C0004482""";[3251,3614,3615,5471];"""C0024141""";[306,356,629,639,640,712,717,720,941,1027,1191,1380,1389,1401,1445,1773,1776,1997,2113,2212,2213,2214,2842,3092,3117,3120,3123,3565,3569,3586,3593,3663,3684,3687,3918,4299,4439,5133,5617,5743,6775,7100,7128,7148,7292,7332,9474,10019,10318,10320,11277,23274,23294,23534,25780,26191,50615,54887,54899,55024,57661,57705,59067,64135,64805,79016,79932,84159,121260,219285,221527,221895,283742,474354]
"""C1723401""";10673;"""C0024141""";[306,356,629,639,640,712,717,720,941,1027,1191,1380,1389,1401,1445,1773,1776,1997,2113,2212,2213,2214,2842,3092,3117,3120,3123,3565,3569,3586,3593,3663,3684,3687,3918,4299,4439,5133,5617,5743,6775,7100,7128,7148,7292,7332,9474,10019,10318,10320,11277,23274,23294,23534,25780,26191,50615,54887,54899,55024,57661,57705,59067,64135,64805,79016,79932,84159,121260,219285,221527,221895,283742,474354]
"[""C0021735"",""C0796545"",""C0021734"",""C0391001"",""C0164613"",""C0254119"",""C0244713""]";[3454,3455];"""C0024301""";[596,604,942,1387,1879,2146,2531,3123,3440,4026,4524,4548,4615,7128,7298,8085,8170,8915,57476,79415]
"[""C0039736"",""C1144149""]";51185;"""C0024419""";4615
"""C0020336""";[51284,54106];"""C0024530""";[28,493,948,1012,1154,1378,1401,2213,2532,2993,2995,3240,3383,4055,4843,6521,7124,91752,114609,256892,259197]
"""C0013090""";[4312,4316,4317,4322];"""C0024530""";[28,493,948,1012,1154,1378,1401,2213,2532,2993,2995,3240,3383,4055,4843,6521,7124,91752,114609,256892,259197]
"""C0008269""";[3039,3040];"""C0024530""";[28,493,948,1012,1154,1378,1401,2213,2532,2993,2995,3240,3383,4055,4843,6521,7124,91752,114609,256892,259197]
"""C0034414""";[1565,6323,6326,6328,6329,6331,6332,6334,6335,6336,11280];"""C0024535""";[355,1378,3043]
"""C0008269""";[3039,3040];"""C0024535""";[355,1378,3043]
"""C0010976""";[6261,6263];"""C0024591""";[779,6261]
"[""C0018549"",""C0063252""]";[2554,2555,2556,2557,2558,2559,2560,2561,2562,2563,2564,2565,2566,2567,2568,2741,3776,3777,51305,54207,55879,338567];"""C0024591""";[779,6261]
"[""C0013089"",""C0068314"",""C0020789"",""C0011015"",""C0014582""]";7153;"""C0024623""";[4582,5562,11200,26137,51196]
"[""C0016360"",""C0671970""]";7298;"""C0024623""";[4582,5562,11200,26137,51196]
"[""C0031923"",""C0301374""]";[1128,1131];"""C0026205""";116
"[""C0004057"",""C0020740"",""C0027396"",""C0038792"",""C0021246"",""C0022635"",""C0031990"",""C0040377"",""C0016377"",""C0012091"",""C0069739"",""C0015837"",""C0012228"",""C0025152"",""C0038878"",""C0073631"",""C0961209"",""C0054094"",""C0030125""]";[5742,5743];"""C0026205""";116
"[""C0004259"",""C0012125"",""C0005098"",""C0017970""]";[1128,1129,1131,1132,1133];"""C0026205""";116
"[""C0700580"",""C0006945"",""C0041190""]";1131;"""C0026205""";116
"""C0011816""";[1135,1136,1137,1141,2903,6532,10280,116443];"""C0026603""";[2820,3213,3232,5607,9705,10659,11281,22871,26053,29951,53353,63976,131034,221935]
"[""C0033405"",""C0012522"",""C0008281"",""C0008929"",""C0052762"",""C0057606"",""C0057605"",""C0065180"",""C0055147"",""C0054672"",""C0908935"",""C0031408"",""C0296800"",""C0054340"",""C0013092"",""C0164386"",""C0025039"",""C0010547"",""C0020404"",""C0527189"",""C0022642"",""C2348241"",""C0003143"",""C0041090"",""C0066101"",""C0041031"",""C0085170"",""C0052759""]";3269;"""C0026603""";[2820,3213,3232,5607,9705,10659,11281,22871,26053,29951,53353,63976,131034,221935]
"[""C0036442"",""C0005578"",""C0041009"",""C0033254""]";1128;"""C0026603""";[2820,3213,3232,5607,9705,10659,11281,22871,26053,29951,53353,63976,131034,221935]
"[""C0004057"",""C0020740"",""C0027396"",""C0038792"",""C0021246"",""C0022635"",""C0031990"",""C0040377"",""C0016377"",""C0012091"",""C0069739"",""C0015837"",""C0012228"",""C0025152"",""C0038878"",""C0073631"",""C0961209"",""C0054094"",""C0030125""]";[5742,5743];"""C0026691""";[640,958,2212,3781,8190,79682,79934,80271,90390,253017,254827]
"[""C0039736"",""C1144149""]";51185;"""C0026764""";[142,595,596,598,664,694,942,1010,1029,1437,1440,1728,1733,1838,2052,2261,2952,3105,3315,3440,3569,3662,3981,4170,4582,5744,6347,6648,6678,8701,9862,23492,23495,23532,54986,55892,84458,170679,170680]
"""C0218986""";[3559,3560];"""C0026764""";[142,595,596,598,664,694,942,1010,1029,1437,1440,1728,1733,1838,2052,2261,2952,3105,3315,3440,3569,3662,3981,4170,4582,5744,6347,6648,6678,8701,9862,23492,23495,23532,54986,55892,84458,170679,170680]
"[""C0013089"",""C0068314"",""C0020789"",""C0011015"",""C0014582""]";7153;"""C0026764""";[142,595,596,598,664,694,942,1010,1029,1437,1440,1728,1733,1838,2052,2261,2952,3105,3315,3440,3569,3662,3981,4170,4582,5744,6347,6648,6678,8701,9862,23492,23495,23532,54986,55892,84458,170679,170680]
"[""C0021735"",""C0796545"",""C0021734"",""C0391001"",""C0164613"",""C0254119"",""C0244713""]";[3454,3455];"""C0026764""";[142,595,596,598,664,694,942,1010,1029,1437,1440,1728,1733,1838,2052,2261,2952,3105,3315,3440,3569,3662,3981,4170,4582,5744,6347,6648,6678,8701,9862,23492,23495,23532,54986,55892,84458,170679,170680]
"[""C0257685"",""C0771311"",""C0379200""]";2224;"""C0026764""";[142,595,596,598,664,694,942,1010,1029,1437,1440,1728,1733,1838,2052,2261,2952,3105,3315,3440,3569,3662,3981,4170,4582,5744,6347,6648,6678,8701,9862,23492,23495,23532,54986,55892,84458,170679,170680]
"""C0007257""";2936;"""C0026764""";[142,595,596,598,664,694,942,1010,1029,1437,1440,1728,1733,1838,2052,2261,2952,3105,3315,3440,3569,3662,3981,4170,4582,5744,6347,6648,6678,8701,9862,23492,23495,23532,54986,55892,84458,170679,170680]
"""C1955474""";7852;"""C0026764""";[142,595,596,598,664,694,942,1010,1029,1437,1440,1728,1733,1838,2052,2261,2952,3105,3315,3440,3569,3662,3981,4170,4582,5744,6347,6648,6678,8701,9862,23492,23495,23532,54986,55892,84458,170679,170680]
"""C1176309""";5693;"""C0026764""";[142,595,596,598,664,694,942,1010,1029,1437,1440,1728,1733,1838,2052,2261,2952,3105,3315,3440,3569,3662,3981,4170,4582,5744,6347,6648,6678,8701,9862,23492,23495,23532,54986,55892,84458,170679,170680]
"[""C0032950"",""C0020268"",""C0011777"",""C0040864"",""C0054201"",""C0025815"",""C0060501"",""C0010137"",""C0032952"",""C0004905"",""C0360564"",""C0907850"",""C1948374"",""C0058004"",""C0005308"",""C0016299"",""C0016298"",""C0071836"",""C0304612"",""C0011707"",""C0082787""]";2908;"""C0026769""";[348,590,643,677,868,923,942,958,965,1268,1591,1594,2262,2315,3115,3119,3122,3123,3134,3383,3394,3456,3553,3559,3574,3575,3592,3766,4126,4162,4234,4249,4261,5010,5027,5133,5443,5594,5788,5817,6041,6198,6401,6556,6565,6774,6775,6850,7128,7132,7297,7410,7412,7813,8575,8740,9639,10055,10198,10301,10461,10538,10636,10665,10892,11262,23095,23274,27120,51300,54806,55765,55892,56244,57178,57531,57727,58513,60468,64084,79925,79970,84769,116986,117289,140685,148867,160365,163059,284677,285362,440836,642636,100133941]
"[""C0009014"",""C0525227"",""C0048038"",""C0079466"",""C0025741"",""C0146011"",""C0113293""]";[150,151,152];"""C0026769""";[348,590,643,677,868,923,942,958,965,1268,1591,1594,2262,2315,3115,3119,3122,3123,3134,3383,3394,3456,3553,3559,3574,3575,3592,3766,4126,4162,4234,4249,4261,5010,5027,5133,5443,5594,5788,5817,6041,6198,6401,6556,6565,6774,6775,6850,7128,7132,7297,7410,7412,7813,8575,8740,9639,10055,10198,10301,10461,10538,10636,10665,10892,11262,23095,23274,27120,51300,54806,55765,55892,56244,57178,57531,57727,58513,60468,64084,79925,79970,84769,116986,117289,140685,148867,160365,163059,284677,285362,440836,642636,100133941]
"""C0026259""";[2534,7153];"""C0026769""";[348,590,643,677,868,923,942,958,965,1268,1591,1594,2262,2315,3115,3119,3122,3123,3134,3383,3394,3456,3553,3559,3574,3575,3592,3766,4126,4162,4234,4249,4261,5010,5027,5133,5443,5594,5788,5817,6041,6198,6401,6556,6565,6774,6775,6850,7128,7132,7297,7410,7412,7813,8575,8740,9639,10055,10198,10301,10461,10538,10636,10665,10892,11262,23095,23274,27120,51300,54806,55765,55892,56244,57178,57531,57727,58513,60468,64084,79925,79970,84769,116986,117289,140685,148867,160365,163059,284677,285362,440836,642636,100133941]
"[""C0025677"",""C1721300""]";1719;"""C0026769""";[348,590,643,677,868,923,942,958,965,1268,1591,1594,2262,2315,3115,3119,3122,3123,3134,3383,3394,3456,3553,3559,3574,3575,3592,3766,4126,4162,4234,4249,4261,5010,5027,5133,5443,5594,5788,5817,6041,6198,6401,6556,6565,6774,6775,6850,7128,7132,7297,7410,7412,7813,8575,8740,9639,10055,10198,10301,10461,10538,10636,10665,10892,11262,23095,23274,27120,51300,54806,55765,55892,56244,57178,57531,57727,58513,60468,64084,79925,79970,84769,116986,117289,140685,148867,160365,163059,284677,285362,440836,642636,100133941]
"""C0011816""";[1135,1136,1137,1141,2903,6532,10280,116443];"""C0026769""";[348,590,643,677,868,923,942,958,965,1268,1591,1594,2262,2315,3115,3119,3122,3123,3134,3383,3394,3456,3553,3559,3574,3575,3592,3766,4126,4162,4234,4249,4261,5010,5027,5133,5443,5594,5788,5817,6041,6198,6401,6556,6565,6774,6775,6850,7128,7132,7297,7410,7412,7813,8575,8740,9639,10055,10198,10301,10461,10538,10636,10665,10892,11262,23095,23274,27120,51300,54806,55765,55892,56244,57178,57531,57727,58513,60468,64084,79925,79970,84769,116986,117289,140685,148867,160365,163059,284677,285362,440836,642636,100133941]
"[""C0004609"",""C0037537""]";[2550,9568];"""C0026769""";[348,590,643,677,868,923,942,958,965,1268,1591,1594,2262,2315,3115,3119,3122,3123,3134,3383,3394,3456,3553,3559,3574,3575,3592,3766,4126,4162,4234,4249,4261,5010,5027,5133,5443,5594,5788,5817,6041,6198,6401,6556,6565,6774,6775,6850,7128,7132,7297,7410,7412,7813,8575,8740,9639,10055,10198,10301,10461,10538,10636,10665,10892,11262,23095,23274,27120,51300,54806,55765,55892,56244,57178,57531,57727,58513,60468,64084,79925,79970,84769,116986,117289,140685,148867,160365,163059,284677,285362,440836,642636,100133941]
"""C1172734""";3676;"""C0026769""";[348,590,643,677,868,923,942,958,965,1268,1591,1594,2262,2315,3115,3119,3122,3123,3134,3383,3394,3456,3553,3559,3574,3575,3592,3766,4126,4162,4234,4249,4261,5010,5027,5133,5443,5594,5788,5817,6041,6198,6401,6556,6565,6774,6775,6850,7128,7132,7297,7410,7412,7813,8575,8740,9639,10055,10198,10301,10461,10538,10636,10665,10892,11262,23095,23274,27120,51300,54806,55765,55892,56244,57178,57531,57727,58513,60468,64084,79925,79970,84769,116986,117289,140685,148867,160365,163059,284677,285362,440836,642636,100133941]
"""C1699926""";[1901,1903,8698,9294,53637];"""C0026769""";[348,590,643,677,868,923,942,958,965,1268,1591,1594,2262,2315,3115,3119,3122,3123,3134,3383,3394,3456,3553,3559,3574,3575,3592,3766,4126,4162,4234,4249,4261,5010,5027,5133,5443,5594,5788,5817,6041,6198,6401,6556,6565,6774,6775,6850,7128,7132,7297,7410,7412,7813,8575,8740,9639,10055,10198,10301,10461,10538,10636,10665,10892,11262,23095,23274,27120,51300,54806,55765,55892,56244,57178,57531,57727,58513,60468,64084,79925,79970,84769,116986,117289,140685,148867,160365,163059,284677,285362,440836,642636,100133941]
"[""C0021735"",""C0796545"",""C0021734"",""C0391001"",""C0164613"",""C0254119"",""C0244713""]";[3454,3455];"""C0026769""";[348,590,643,677,868,923,942,958,965,1268,1591,1594,2262,2315,3115,3119,3122,3123,3134,3383,3394,3456,3553,3559,3574,3575,3592,3766,4126,4162,4234,4249,4261,5010,5027,5133,5443,5594,5788,5817,6041,6198,6401,6556,6565,6774,6775,6850,7128,7132,7297,7410,7412,7813,8575,8740,9639,10055,10198,10301,10461,10538,10636,10665,10892,11262,23095,23274,27120,51300,54806,55765,55892,56244,57178,57531,57727,58513,60468,64084,79925,79970,84769,116986,117289,140685,148867,160365,163059,284677,285362,440836,642636,100133941]
"""C0004482""";[3251,3614,3615,5471];"""C0026769""";[348,590,643,677,868,923,942,958,965,1268,1591,1594,2262,2315,3115,3119,3122,3123,3134,3383,3394,3456,3553,3559,3574,3575,3592,3766,4126,4162,4234,4249,4261,5010,5027,5133,5443,5594,5788,5817,6041,6198,6401,6556,6565,6774,6775,6850,7128,7132,7297,7410,7412,7813,8575,8740,9639,10055,10198,10301,10461,10538,10636,10665,10892,11262,23095,23274,27120,51300,54806,55765,55892,56244,57178,57531,57727,58513,60468,64084,79925,79970,84769,116986,117289,140685,148867,160365,163059,284677,285362,440836,642636,100133941]
"""C0010976""";[6261,6263];"""C0026769""";[348,590,643,677,868,923,942,958,965,1268,1591,1594,2262,2315,3115,3119,3122,3123,3134,3383,3394,3456,3553,3559,3574,3575,3592,3766,4126,4162,4234,4249,4261,5010,5027,5133,5443,5594,5788,5817,6041,6198,6401,6556,6565,6774,6775,6850,7128,7132,7297,7410,7412,7813,8575,8740,9639,10055,10198,10301,10461,10538,10636,10665,10892,11262,23095,23274,27120,51300,54806,55765,55892,56244,57178,57531,57727,58513,60468,64084,79925,79970,84769,116986,117289,140685,148867,160365,163059,284677,285362,440836,642636,100133941]
"""C0000477""";[3736,3737,3738,3739,3741,3742,3743,3744,3745,3746,3747,3748,3749,3750,3751,3752,3754,3755,3756,3757,3784,3785,3786,3787,3788,3790,9132,9312,23415,23416,26251,27012,27133,56479,81033,90134,93107,131096,169522,170850];"""C0026769""";[348,590,643,677,868,923,942,958,965,1268,1591,1594,2262,2315,3115,3119,3122,3123,3134,3383,3394,3456,3553,3559,3574,3575,3592,3766,4126,4162,4234,4249,4261,5010,5027,5133,5443,5594,5788,5817,6041,6198,6401,6556,6565,6774,6775,6850,7128,7132,7297,7410,7412,7813,8575,8740,9639,10055,10198,10301,10461,10538,10636,10665,10892,11262,23095,23274,27120,51300,54806,55765,55892,56244,57178,57531,57727,58513,60468,64084,79925,79970,84769,116986,117289,140685,148867,160365,163059,284677,285362,440836,642636,100133941]
"""C0010592""";[1723,2280,5478];"""C0026896""";[355,629,3106,3115,4593,5443,8792,10318,26191]
"[""C0016967"",""C0527316"",""C0027679"",""C0022181"",""C0034261"",""C0360174""]";43;"""C0026896""";[355,629,3106,3115,4593,5443,8792,10318,26191]
"[""C0021735"",""C0796545"",""C0021734"",""C0391001"",""C0164613"",""C0254119"",""C0244713""]";[3454,3455];"""C0026948""";7133
"[""C0015133"",""C0039512""]";[7153,7155];"""C0026948""";7133
"[""C0009262"",""C0246415"",""C0042679"",""C0042670"",""C0078257"",""C0144576"",""C2830183""]";[7280,10381,10382,10383,81027,84617,203068,347688,347733];"""C0026948""";7133
"[""C0025677"",""C1721300""]";1719;"""C0026948""";7133
"""C2931926""";[3716,3717];"""C0026987""";[811,3717,4352,54790]
"""C0002658""";[6530,6531,134864];"""C0027404""";[1120,1375,1512,3060,3062,3119,3123,4340,5032,5179,6863,7200,7292,8835,22891,56342,692312]
"[""C0004609"",""C0037537""]";[2550,9568];"""C0027404""";[1120,1375,1512,3060,3062,3119,3123,4340,5032,5179,6863,7200,7292,8835,22891,56342,692312]
"""C0066677""";6531;"""C0027404""";[1120,1375,1512,3060,3062,3119,3123,4340,5032,5179,6863,7200,7292,8835,22891,56342,692312]
"[""C0011812"",""C1873633""]";[6530,6531,6571];"""C0027404""";[1120,1375,1512,3060,3062,3119,3123,4340,5032,5179,6863,7200,7292,8835,22891,56342,692312]
